"","regiao","estado","date","casosNovos","casosAcumulados","obitosNovos","obitosAcumulados"
"1","Norte","RO",2020-01-30,0,0,0,0
"2","Norte","RO",2020-01-31,0,0,0,0
"3","Norte","RO",2020-02-01,0,0,0,0
"4","Norte","RO",2020-02-02,0,0,0,0
"5","Norte","RO",2020-02-03,0,0,0,0
"6","Norte","RO",2020-02-04,0,0,0,0
"7","Norte","RO",2020-02-05,0,0,0,0
"8","Norte","RO",2020-02-06,0,0,0,0
"9","Norte","RO",2020-02-07,0,0,0,0
"10","Norte","RO",2020-02-08,0,0,0,0
"11","Norte","RO",2020-02-09,0,0,0,0
"12","Norte","RO",2020-02-10,0,0,0,0
"13","Norte","RO",2020-02-11,0,0,0,0
"14","Norte","RO",2020-02-12,0,0,0,0
"15","Norte","RO",2020-02-13,0,0,0,0
"16","Norte","RO",2020-02-14,0,0,0,0
"17","Norte","RO",2020-02-15,0,0,0,0
"18","Norte","RO",2020-02-16,0,0,0,0
"19","Norte","RO",2020-02-17,0,0,0,0
"20","Norte","RO",2020-02-18,0,0,0,0
"21","Norte","RO",2020-02-19,0,0,0,0
"22","Norte","RO",2020-02-20,0,0,0,0
"23","Norte","RO",2020-02-21,0,0,0,0
"24","Norte","RO",2020-02-22,0,0,0,0
"25","Norte","RO",2020-02-23,0,0,0,0
"26","Norte","RO",2020-02-24,0,0,0,0
"27","Norte","RO",2020-02-25,0,0,0,0
"28","Norte","RO",2020-02-26,0,0,0,0
"29","Norte","RO",2020-02-27,0,0,0,0
"30","Norte","RO",2020-02-28,0,0,0,0
"31","Norte","RO",2020-02-29,0,0,0,0
"32","Norte","RO",2020-03-01,0,0,0,0
"33","Norte","RO",2020-03-02,0,0,0,0
"34","Norte","RO",2020-03-03,0,0,0,0
"35","Norte","RO",2020-03-04,0,0,0,0
"36","Norte","RO",2020-03-05,0,0,0,0
"37","Norte","RO",2020-03-06,0,0,0,0
"38","Norte","RO",2020-03-07,0,0,0,0
"39","Norte","RO",2020-03-08,0,0,0,0
"40","Norte","RO",2020-03-09,0,0,0,0
"41","Norte","RO",2020-03-10,0,0,0,0
"42","Norte","RO",2020-03-11,0,0,0,0
"43","Norte","RO",2020-03-12,0,0,0,0
"44","Norte","RO",2020-03-13,0,0,0,0
"45","Norte","RO",2020-03-14,0,0,0,0
"46","Norte","RO",2020-03-15,0,0,0,0
"47","Norte","RO",2020-03-16,0,0,0,0
"48","Norte","RO",2020-03-17,0,0,0,0
"49","Norte","RO",2020-03-18,0,0,0,0
"50","Norte","RO",2020-03-19,0,0,0,0
"51","Norte","RO",2020-03-20,1,1,0,0
"52","Norte","RO",2020-03-21,0,1,0,0
"53","Norte","RO",2020-03-22,2,3,0,0
"54","Norte","RO",2020-03-23,0,3,0,0
"55","Norte","RO",2020-03-24,0,3,0,0
"56","Norte","RO",2020-03-25,2,5,0,0
"57","Norte","RO",2020-03-26,0,5,0,0
"58","Norte","RO",2020-03-27,1,6,0,0
"59","Norte","RO",2020-03-28,0,6,0,0
"60","Norte","RO",2020-03-29,0,6,0,0
"61","Norte","RO",2020-03-30,0,6,0,0
"62","Norte","RO",2020-03-31,2,8,1,1
"63","Norte","RO",2020-04-01,1,9,0,1
"64","Norte","RO",2020-04-02,1,10,0,1
"65","Norte","RO",2020-04-03,0,10,0,1
"66","Norte","RO",2020-04-04,1,11,0,1
"67","Norte","RO",2020-04-05,1,12,0,1
"68","Norte","RO",2020-04-06,2,14,0,1
"69","Norte","RO",2020-04-07,4,18,0,1
"70","Norte","RO",2020-04-08,0,18,0,1
"71","Norte","RO",2020-04-09,10,28,1,2
"72","Norte","RO",2020-04-10,4,32,0,2
"73","Norte","RO",2020-04-11,1,33,0,2
"74","Norte","RO",2020-04-12,2,35,0,2
"75","Norte","RO",2020-04-13,7,42,0,2
"76","Norte","RO",2020-04-14,22,64,0,2
"77","Norte","RO",2020-04-15,5,69,0,2
"78","Norte","RO",2020-04-16,7,76,1,3
"79","Norte","RO",2020-04-17,16,92,0,3
"80","Norte","RO",2020-04-18,18,110,0,3
"81","Norte","RO",2020-04-19,18,128,1,4
"82","Norte","RO",2020-04-20,32,160,0,4
"83","Norte","RO",2020-04-21,39,199,0,4
"84","Norte","RO",2020-04-22,24,223,1,5
"85","Norte","RO",2020-04-23,27,250,0,5
"86","Norte","RO",2020-04-24,40,290,0,5
"87","Norte","RO",2020-04-25,38,328,2,7
"88","Norte","RO",2020-04-26,36,364,3,10
"89","Norte","RO",2020-04-27,29,393,0,10
"90","Norte","RO",2020-04-28,20,413,1,11
"91","Norte","RO",2020-04-29,20,433,4,15
"92","Norte","RO",2020-04-30,69,502,1,16
"93","Norte","RO",2020-05-01,83,585,2,18
"94","Norte","RO",2020-05-02,68,653,5,23
"95","Norte","RO",2020-05-03,52,705,1,24
"96","Norte","RO",2020-05-04,51,756,1,25
"97","Norte","AC",2020-01-30,0,0,0,0
"98","Norte","AC",2020-01-31,0,0,0,0
"99","Norte","AC",2020-02-01,0,0,0,0
"100","Norte","AC",2020-02-02,0,0,0,0
"101","Norte","AC",2020-02-03,0,0,0,0
"102","Norte","AC",2020-02-04,0,0,0,0
"103","Norte","AC",2020-02-05,0,0,0,0
"104","Norte","AC",2020-02-06,0,0,0,0
"105","Norte","AC",2020-02-07,0,0,0,0
"106","Norte","AC",2020-02-08,0,0,0,0
"107","Norte","AC",2020-02-09,0,0,0,0
"108","Norte","AC",2020-02-10,0,0,0,0
"109","Norte","AC",2020-02-11,0,0,0,0
"110","Norte","AC",2020-02-12,0,0,0,0
"111","Norte","AC",2020-02-13,0,0,0,0
"112","Norte","AC",2020-02-14,0,0,0,0
"113","Norte","AC",2020-02-15,0,0,0,0
"114","Norte","AC",2020-02-16,0,0,0,0
"115","Norte","AC",2020-02-17,0,0,0,0
"116","Norte","AC",2020-02-18,0,0,0,0
"117","Norte","AC",2020-02-19,0,0,0,0
"118","Norte","AC",2020-02-20,0,0,0,0
"119","Norte","AC",2020-02-21,0,0,0,0
"120","Norte","AC",2020-02-22,0,0,0,0
"121","Norte","AC",2020-02-23,0,0,0,0
"122","Norte","AC",2020-02-24,0,0,0,0
"123","Norte","AC",2020-02-25,0,0,0,0
"124","Norte","AC",2020-02-26,0,0,0,0
"125","Norte","AC",2020-02-27,0,0,0,0
"126","Norte","AC",2020-02-28,0,0,0,0
"127","Norte","AC",2020-02-29,0,0,0,0
"128","Norte","AC",2020-03-01,0,0,0,0
"129","Norte","AC",2020-03-02,0,0,0,0
"130","Norte","AC",2020-03-03,0,0,0,0
"131","Norte","AC",2020-03-04,0,0,0,0
"132","Norte","AC",2020-03-05,0,0,0,0
"133","Norte","AC",2020-03-06,0,0,0,0
"134","Norte","AC",2020-03-07,0,0,0,0
"135","Norte","AC",2020-03-08,0,0,0,0
"136","Norte","AC",2020-03-09,0,0,0,0
"137","Norte","AC",2020-03-10,0,0,0,0
"138","Norte","AC",2020-03-11,0,0,0,0
"139","Norte","AC",2020-03-12,0,0,0,0
"140","Norte","AC",2020-03-13,0,0,0,0
"141","Norte","AC",2020-03-14,0,0,0,0
"142","Norte","AC",2020-03-15,0,0,0,0
"143","Norte","AC",2020-03-16,0,0,0,0
"144","Norte","AC",2020-03-17,0,0,0,0
"145","Norte","AC",2020-03-18,0,0,0,0
"146","Norte","AC",2020-03-19,3,3,0,0
"147","Norte","AC",2020-03-20,4,7,0,0
"148","Norte","AC",2020-03-21,2,9,0,0
"149","Norte","AC",2020-03-22,2,11,0,0
"150","Norte","AC",2020-03-23,0,11,0,0
"151","Norte","AC",2020-03-24,6,17,0,0
"152","Norte","AC",2020-03-25,6,23,0,0
"153","Norte","AC",2020-03-26,1,24,0,0
"154","Norte","AC",2020-03-27,1,25,0,0
"155","Norte","AC",2020-03-28,0,25,0,0
"156","Norte","AC",2020-03-29,9,34,0,0
"157","Norte","AC",2020-03-30,8,42,0,0
"158","Norte","AC",2020-03-31,0,42,0,0
"159","Norte","AC",2020-04-01,1,43,0,0
"160","Norte","AC",2020-04-02,0,43,0,0
"161","Norte","AC",2020-04-03,3,46,0,0
"162","Norte","AC",2020-04-04,0,46,0,0
"163","Norte","AC",2020-04-05,2,48,0,0
"164","Norte","AC",2020-04-06,2,50,0,0
"165","Norte","AC",2020-04-07,0,50,1,1
"166","Norte","AC",2020-04-08,4,54,1,2
"167","Norte","AC",2020-04-09,8,62,0,2
"168","Norte","AC",2020-04-10,8,70,0,2
"169","Norte","AC",2020-04-11,2,72,0,2
"170","Norte","AC",2020-04-12,5,77,0,2
"171","Norte","AC",2020-04-13,13,90,1,3
"172","Norte","AC",2020-04-14,9,99,0,3
"173","Norte","AC",2020-04-15,2,101,0,3
"174","Norte","AC",2020-04-16,9,110,2,5
"175","Norte","AC",2020-04-17,25,135,0,5
"176","Norte","AC",2020-04-18,7,142,0,5
"177","Norte","AC",2020-04-19,21,163,1,6
"178","Norte","AC",2020-04-20,13,176,2,8
"179","Norte","AC",2020-04-21,19,195,0,8
"180","Norte","AC",2020-04-22,19,214,0,8
"181","Norte","AC",2020-04-23,13,227,2,10
"182","Norte","AC",2020-04-24,7,234,1,11
"183","Norte","AC",2020-04-25,24,258,0,11
"184","Norte","AC",2020-04-26,21,279,0,11
"185","Norte","AC",2020-04-27,0,279,3,14
"186","Norte","AC",2020-04-28,32,311,2,16
"187","Norte","AC",2020-04-29,43,354,1,17
"188","Norte","AC",2020-04-30,50,404,2,19
"189","Norte","AC",2020-05-01,82,486,0,19
"190","Norte","AC",2020-05-02,67,553,2,21
"191","Norte","AC",2020-05-03,104,657,3,24
"192","Norte","AC",2020-05-04,76,733,4,28
"193","Norte","AM",2020-01-30,0,0,0,0
"194","Norte","AM",2020-01-31,0,0,0,0
"195","Norte","AM",2020-02-01,0,0,0,0
"196","Norte","AM",2020-02-02,0,0,0,0
"197","Norte","AM",2020-02-03,0,0,0,0
"198","Norte","AM",2020-02-04,0,0,0,0
"199","Norte","AM",2020-02-05,0,0,0,0
"200","Norte","AM",2020-02-06,0,0,0,0
"201","Norte","AM",2020-02-07,0,0,0,0
"202","Norte","AM",2020-02-08,0,0,0,0
"203","Norte","AM",2020-02-09,0,0,0,0
"204","Norte","AM",2020-02-10,0,0,0,0
"205","Norte","AM",2020-02-11,0,0,0,0
"206","Norte","AM",2020-02-12,0,0,0,0
"207","Norte","AM",2020-02-13,0,0,0,0
"208","Norte","AM",2020-02-14,0,0,0,0
"209","Norte","AM",2020-02-15,0,0,0,0
"210","Norte","AM",2020-02-16,0,0,0,0
"211","Norte","AM",2020-02-17,0,0,0,0
"212","Norte","AM",2020-02-18,0,0,0,0
"213","Norte","AM",2020-02-19,0,0,0,0
"214","Norte","AM",2020-02-20,0,0,0,0
"215","Norte","AM",2020-02-21,0,0,0,0
"216","Norte","AM",2020-02-22,0,0,0,0
"217","Norte","AM",2020-02-23,0,0,0,0
"218","Norte","AM",2020-02-24,0,0,0,0
"219","Norte","AM",2020-02-25,0,0,0,0
"220","Norte","AM",2020-02-26,0,0,0,0
"221","Norte","AM",2020-02-27,0,0,0,0
"222","Norte","AM",2020-02-28,0,0,0,0
"223","Norte","AM",2020-02-29,0,0,0,0
"224","Norte","AM",2020-03-01,0,0,0,0
"225","Norte","AM",2020-03-02,0,0,0,0
"226","Norte","AM",2020-03-03,0,0,0,0
"227","Norte","AM",2020-03-04,0,0,0,0
"228","Norte","AM",2020-03-05,0,0,0,0
"229","Norte","AM",2020-03-06,0,0,0,0
"230","Norte","AM",2020-03-07,0,0,0,0
"231","Norte","AM",2020-03-08,0,0,0,0
"232","Norte","AM",2020-03-09,0,0,0,0
"233","Norte","AM",2020-03-10,0,0,0,0
"234","Norte","AM",2020-03-11,0,0,0,0
"235","Norte","AM",2020-03-12,0,0,0,0
"236","Norte","AM",2020-03-13,0,0,0,0
"237","Norte","AM",2020-03-14,0,0,0,0
"238","Norte","AM",2020-03-15,1,1,0,0
