"","uf","tipo_doenca","local_obito","faixa_etaria","sexo","total"
"1","DF","Outras doenças","DOMICILIO","<= 39","F",3
"2","DF","Outras doenças","HOSPITAL","<= 39","F",71
"3","DF","Outras doenças","HOSPITAL","<= 39","M",85
"4","DF","Outras doenças","OUTRO","<= 39","M",1
"5","DF","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",2
"6","DF","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",4
"7","DF","COVID-19","HOSPITAL","<= 39","F",2
"8","DF","Outras doenças","HOSPITAL","<= 39","F",2
"9","DF","Outras doenças","HOSPITAL","<= 39","M",1
"10","DF","Outras doenças respiratórias","HOSPITAL","<= 39","F",22
"11","DF","Outras doenças respiratórias","HOSPITAL","<= 39","M",20
"12","DF","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"13","DF","Outras doenças respiratórias","HOSPITAL","<= 39","F",6
"14","DF","Outras doenças respiratórias","HOSPITAL","<= 39","M",10
"15","DF","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"16","DF","Outras doenças respiratórias","HOSPITAL","<= 39","F",41
"17","DF","Outras doenças respiratórias","HOSPITAL","<= 39","M",42
"18","DF","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"19","DF","Outras doenças respiratórias","HOSPITAL","<= 39","F",5
"20","DF","Outras doenças respiratórias","HOSPITAL","<= 39","M",3
"21","MG","Outras doenças","DOMICILIO","<= 39","F",22
"22","MG","Outras doenças","DOMICILIO","<= 39","M",26
"23","MG","Outras doenças","HOSPITAL","<= 39","F",387
"25","MG","Outras doenças","HOSPITAL","<= 39","M",436
"26","MG","Outras doenças","IGNORADO","<= 39","F",11
"28","MG","Outras doenças","IGNORADO","<= 39","M",7
"29","MG","Outras doenças","OUTRO","<= 39","F",1
"30","MG","Outras doenças","OUTRO","<= 39","M",3
"31","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",7
"32","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",10
"33","MG","Outras doenças","VIA_PUBLICA","<= 39","F",3
"34","MG","Outras doenças","VIA_PUBLICA","<= 39","M",5
"35","MG","COVID-19","HOSPITAL","<= 39","F",1
"36","MG","COVID-19","HOSPITAL","<= 39","M",2
"37","MG","COVID-19","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"38","MG","Outras doenças","DOMICILIO","<= 39","M",1
"39","MG","Outras doenças","HOSPITAL","<= 39","F",5
"40","MG","Outras doenças","HOSPITAL","<= 39","M",9
"41","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"42","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"43","MG","Outras doenças respiratórias","DOMICILIO","<= 39","F",1
"44","MG","Outras doenças respiratórias","DOMICILIO","<= 39","M",3
"45","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",61
"47","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",89
"48","MG","Outras doenças respiratórias","IGNORADO","<= 39","M",1
"49","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",2
"50","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"51","MG","Outras doenças respiratórias","VIA_PUBLICA","<= 39","F",2
"52","MG","Outras doenças respiratórias","VIA_PUBLICA","<= 39","M",1
"53","MG","Outras doenças respiratórias","DOMICILIO","<= 39","M",1
"54","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",18
